DateCreated,Status,OrganizationType,Name,ShortName,Affiliated School,Membership Type,Approximate year the organization was founded at UVA,"Please list 3-5 Primary Events/Programs that your CIO hosts each year. If you do not have annual recurring events,please list some of the events/programs you hosted this past year.",Total number of Members (approximate),"Approximate membership dues per academic year (if zero,please write ""zero"")","Approximately,how much money do members spend out of pocket per academic year,not including dues,for your CIO activities? (write the number,don't include $)","Please list your primary sources of funding (SAF,fundraisers,national organizations,alumni,departments,etc.)","Not including SAF,approximately how much money does your organization fundraise per academic year?",Does???ˇthis organization require an application or an interview/audition process to join?,How frequently does???ˇthis organization meet?,"Approximately how many hours/week do non-exec members spend on your organization's activities (meetings,events,planning,etc.)?",When does???ˇthis organization elect new officers?,When does???ˇthis organization do recruitment/membership intake?,"Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Marketing","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Planning Events","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Reserving Spaces","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Fundraising/Budgeting/Co-Sponsorships","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Transitioning Officers","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Recruiting New Members","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Delegation","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Community Building/Icebreakers","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Motivating Members","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Holding Members Accountable","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Developing a Mission/Vision","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Collaboration (with other CIOs,the community,faculty/staff,etc.)","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Other",Are you the 2020-2021 incoming President OR a 2020-2021 returning member/officer????ˇ,Are you a first time President?
5/4/2020 0:01,Approved,Contracted Independent Organization,The Student Chapter of the American Chemical Society at the University of Virginia,ACS Student Chapter ,No affiliated schools,Predominantly Undergraduate Students,2016,Participation in National Chemistry WeekAttendance at ACS Regional and National ConferencesParticipation in ACS meetings at UVA,21,300,0,"fundraisers, dues",40,Neither,Monthly,0.5,April ,Members can join at any time,Marketing,Planning Events,,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,Community Building/Icebreakers,Motivating Members,Holding Members Accountable,Developing a Mission/Vision,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","No, I am a returning President for this organization"
4/20/2020 19:01,Approved,Contracted Independent Organization,University Democrats at UVA,UDems,No affiliated schools,Predominantly Undergraduate Students,1980?,"UDems holds weekly meetings that bring in a variety of guest speakers, including politicians, government officials, and academic experts. These meetings help students gain a broader understanding of political issues, and offer them the chance to interact and network with individuals prominent in the political and academic world. Occasionally, we have meetings that are student dialogue-driven or that include fun games such as UDems Jeopardy! We also campaign for the Democratic candidates every year on the local, state and national level. For example, we campaigned for Tim Kaine, Leslie Cockburn, Stacey Abrams, and a plethora of local candidates. We work to give back to the community, teaming up with Charlottesville Parks & Recreation, Ronald McDonald House, and other organizations on service projects. We host a number of co-sponsored meetings and events, such as the bi-partisan kickball game against the College Republicans, and hope this year to have more joint events with other organizations that uphold Democratic principles such as Minority Rights and Sustainability groups. We are also involved with the Democratic Party of Virginia, and have attended the Jefferson-Jackson Dinner. We work with the Albemarle County Democrats and Charlottesville Democrats, volunteering at functions such as the Grace Tinsley Dinner. We coordinate with the Virginia Young Democrats (VAYD), and attend VAYD Convention every year. Finally, we also have a great deal of social events, ranging from parties to typical Charlottesville activities such as apple picking and Foxfield, to an end of the semester dinner.",270,20,10,dues and fundraiser,50,Neither,Weekly,2-Jan,November,Members can join at any time,,,,,,,,,,,,,,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary",n/a
5/1/2020 15:53,Approved,Contracted Independent Organization,Student Virginia Education Association,SVEA,Education (Curry),Predominantly Undergraduate Students,2003,"Volunteering at local school events, hosting professional development workshops for future teachers, bringing guest speakers to talk to members about education-related topics, attending annual VEA state conference of SVEA chapters at many different Virginia colleges, taking on projects within the Curry schools, social events",20,10,0,"parent fund, fundraisers, Cody Lloyd",50,Neither,Monthly,1,May,Members can join at any time,,Planning Events,,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,Motivating Members,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/9/2020 12:05,Approved,Contracted Independent Organization,Circle K International,CKI,No affiliated schools,Predominantly Undergraduate Students,1963,"Easter Egg Hunt in the Gardens, Breakfast with Santa,  Adopt a Highway, Martha Jefferson House Volunteering",50,25,0,"parents fund, Charlottesville Kiwanis, fundraising",50,Neither,Weekly,1,March ,Members can join at any time,,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,Motivating Members,,,,,"Yes, I am the incoming President.","No, I am a returning President for this organization"
5/4/2020 22:36,Approved,Contracted Independent Organization,Japan Club,JC,No affiliated schools,Both Undergraduate and Graduate Students,1996,"Fall Fest, Spring Matsuri, Japanese Food Night (Ramen,Curry ect), RVA/DC Cherry Blossom Festival, Intercollegiate Japanese Organization Conference, Mafia Night, Family Bonding Events",50,$20 ,$5 ,SAF,$50 ,Neither,Weekly,1,April ,Members can join at any time,,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,Motivating Members,,,,,"No, I am not, but I am the only one who makes sense to renew the organization at this time.",n/a
4/26/2020 14:20,Approved,Contracted Independent Organization,Changing Health Attitudes & Actions to Recreate Girls,CHAARG,Arts and Sciences,Predominantly Undergraduate Students,2019,"CHAARG's primary events are called Weekly Workouts. Every week, on the same day and at the same time, which is set at the beginning of every semester, we will travel as a Chapter to a local fitness studio to sample one of their classes. These studios have agreed to volunteer their time in order to teach our group, so there is no additional charge to our members. On occasion, if a studio has a small class capacity, we will offer two sessions in order to accommodate at least 60% of our members. Our Chapter carpools to all events.Other notable CHAARG events are what we call Small Groups. At the same time and same day, also set at the beginning of every semester, each Exec Member meets with their own group of girls to do a workout, hang out on Grounds, go to a University event, or just do homework together. These groups are set within the first two weeks of the semester; members choose what Exec Member's Small Group time works best for them, and they attend that session for the rest of the semester.",125,5,50,fundraisers and national organizations,60,Neither,Weekly,3,April ,Members can join at any time,,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
5/4/2020 20:08,Approved,Contracted Independent Organization,College Science Scholars Council,CSSC,Arts and Sciences,Predominantly Undergraduate Students,2003,"The College Science Scholars Council holds biweekly executive board meetings, as well as monthly social and academic events. Academic events include STEM research panels, application/grants workshops, and faculty lectures. Social events have included movie nights with professor presenters and board game nights at council-members' houses.  CSSC volunteers for Days on the Lawn, to help recruit talented STEM students to the University.",40,242,0,fundraisers and dues,90,Application,Weekly,0.5,April ,Spring Semester,,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,,,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/16/2020 12:33,Approved,Contracted Independent Organization,The Roosevelt Society,,No affiliated schools,Predominantly Undergraduate Students,I do not know,Student-led round-table discussion and debate,15,10,,Dues,100,Neither,Weekly,1.5,November,Members can join at any time,,,,,,Recruiting New Members,,Community Building/Icebreakers,Motivating Members,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary","No, I am a returning President for this organization"
5/3/2020 14:52,Approved,Contracted Independent Organization,The Lebanese Club at the University of Virginia (UVA),LCUVA,No affiliated schools,Both Undergraduate and Graduate Students,2008,#ERROR!,55,15,0,Fundraisers and dues,100,Neither,Monthly,1,May,Members can join at any time,,,,Fundraising/Budgeting/Co-Sponsorships,,,,,,,,,,"Yes, I am the incoming President.","No, I am a returning President for this organization"
4/15/2020 17:24,Approved,Contracted Independent Organization,Aerial Dance Club at UVA,,Arts and Sciences,Predominantly Undergraduate Students,2015,"1. Practice any form of acrobatics, including, but not limited to: aerial silks, lyra/aerial hoop, balancing, floor gymnastics, juggling, trapeze, spanish web, and rope. Circus skills.2. Perform for UVA/Charlottesville community by hosting annual and occasional semi-annual showcase.3. Partner with the UVA Drama Dept. for aerial, acrobatics, and other circus shows at UVA.",25,150,0,SAF,100,Neither,Weekly,3,March ,Fall & Spring Semester,,Planning Events,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,,,Community Building/Icebreakers,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/29/2020 16:06,Approved,Contracted Independent Organization,Omicron Delta Kappa,O??É?ùK / ODK,Leadership and Public Policy (Batten),Both Undergraduate and Graduate Students,1913,"ODK hosts- Bi-semester General Circle Meeting s- Annual Day of Giving, an event that helps fundraiser for the National ODK Office- Annual Day of Service, an event where we will volunteer at a local organization, such as the SPCA- Social Event (Fall/Spring), a fun networking event for current students-Leadership Speaker Series",25,$120 ,,"Fundraisers, Batten School",$150 ,Application,Once or twice a semester,1 hr,November,Fall & Spring Semester,Marketing,,,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,Motivating Members,Holding Members Accountable,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","No, I am a returning President for this organization"
4/23/2020 17:16,Approved,Contracted Independent Organization,Photography Club at UVA,,No affiliated schools,Both Undergraduate and Graduate Students,2008,"Photo walks, Photo contests, guest lectures, social events",150,zero-$10,10,membership dues,150,Neither,Monthly,2-Jan,April ,Members can join at any time,Marketing,,,,,Recruiting New Members,,,Motivating Members,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
